bairro_origem,bairro_destino,logradouro,observacao,peso
Alto do Mandu,Tamarineira,"1r.pedro_de_barros+r.da_harmonia+av.norte_miguel_arraes_de_alencar","r=rua;av=avenida",5.0
Apipucos,Casa Amarela,"r.mandacaru+r.padre_lemos","r=rua ",4.0
Apipucos,Casa Forte,1r.de_apipucos+av.dezessete_de_agosto,"r=rua;av=avenida",3.0
Apipucos,Derby,1r.de_apipucos+av.dezessete_de_agosto+av.rui_barbosa,"r=rua;av=avenida",4.0
Apipucos,Dois Irmaos,r.de_apipucos+r.dois_irmaos,"r=rua ",4.0
Apipucos,Espinheiro,"r.mandacaru+r.padre_lemos+av.norte_miguel_arraes_de_alencar","r=rua;av=avenida",5.0
Apipucos,Gracas,2r.de_apipucos+av.dezessete_de_agosto+av.rui_barbosa,"r=rua;av=avenida",4.0
Apipucos,Jaqueira,1r.de_apipucos+estr.do_encanamento,"r=rua; est=estrada",3.5
Apipucos,Monteiro,1r.de_apipucos,r=rua,2.0
Apipucos,Parnamirim,2r.de_apipucos+estr.do_encanamento,"r=rua; est=estrada",3.5
Apipucos,Poco,2r.de_apipucos+av.dezessete_de_agosto,"r=rua;av=avenida",3.0
Apipucos,Santana,3r.de_apipucos+av.dezessete_de_agosto,"r=rua;av=avenida",3.0
Apipucos,Sitio dos Pintos,"r.dois_irmaos+r.manuel_de_medeiros+estr.dos_pintos","r=rua; est=estrada",5.5
Apipucos,Tamarineira,"2r.pedro_de_barros+r.da_harmonia+av.norte_miguel_arraes_de_alencar","r=rua;av=avenida",5.0
Casa Amarela,Casa Forte,estr.do_arraial+estr.do_encanamento,est=estrada,3.0
Casa Amarela,Derby,r.da_harmonia+av.rui_barbosa,"r=rua;av=avenida",3.0
Casa Amarela,Dois Irmaos,1estr.do_arraial+r.de_apipucos+r.dois_irmaos,"est=estrada; r=rua",5.5
Casa Amarela,Espinheiro,1av.norte_miguel_arraes_de_alenca,av=avenida,1.0
Casa Amarela,Gracas,"1estr.do_encanamento+av.rui_barbosa","est=estrada;  av= avenida",2.5
Casa Amarela,Jaqueira,"r.da_harmonia+r.conselheiro_aguiar+r.do_futuro","r=rua ",6.0
Casa Amarela,Monteiro,2estr.do_arraial+r.de_apipucos+r.dois_irmaos,"est=estrada; r=rua",5.5
Casa Amarela,Parnamirim,"2estr.do_encanamento+av.rui_barbosa","est=estrada;  av= avenida",2.5
Casa Amarela,Poco,estr.do_arraial+r.pedro_de_barros+r.da_harmonia,"est=estrada; r=rua",5.5
Casa Amarela,Santana,"r.da_harmonia+r.conselheiro_aguiar+r.do_futuro+av.dezessete_de_agosto","r=rua;av=avenida",8.0
Casa Amarela,Sitio dos Pintos,"r.da_harmonia+r.dois_irmaos+r.manuel_de_medeiros+estr.dos_pintos","r=rua; est=estrada",7.5
Casa Amarela,Tamarineira,"av.norte_miguel_arraes_de_alencar+av.prof_jose_dos_anjos","av = avenida",2.0
Casa Forte,Derby,"1av.rui_barbosa","av = avenida",1.0
Casa Forte,Dois Irmaos,"av.dezessete_de_agosto+r.de_apipucos+r.dois_irmãos","av = avenida; r = rua",5.0
Casa Forte,Espinheiro,"2av.rui_barbosa","av = avenida",1.0
Casa Forte,Gracas,"3av.rui_barbosa","av = avenida",1.0
Casa Forte,Jaqueira,r.afonso_de_albuquerque_melo,"r = rua",2.0
Casa Forte,Monteiro,"1av.dezessete_de_agosto","av = avenida",1.0
Casa Forte,Parnamirim,"2av.dezessete_de_agosto","av = avenida",1.0
Casa Forte,Poco,praça_de_casa_forte+estr.real_do_poço,"estr = estrada",3.5
Casa Forte,Santana,"praça_de_casa_forte+av.dezessete_de_agosto+r.sant_anna","av = avenida; r = rua",4.0
Casa Forte,Sitio dos Pintos,av.dezessete_de_agosto,"av = avenida",1.0
Casa Forte,Tamarineira,"3av.dezessete_de_agosto","av = avenida",1.0
Derby,Dois Irmaos,1av.caxanga,"av = avenida",1.0
Derby,Espinheiro,r.do_espinheiro,"r = rua",2.0
Derby,Gracas,r.das_graças,"r = rua",2.0
Derby,Jaqueira,1av.conselheiro_rosa_e_silva,"av = avenida",1.0
Derby,Monteiro,"4av.dezessete_de_agosto","av = avenida",1.0
Derby,Parnamirim,1r.jose_bonifacio,"r = rua",2.0
Derby,Poco,2r.jose_bonifacio,"r = rua",2.0
Derby,Santana,3r.jose_bonifacio,"r = rua",2.0
Derby,Sitio dos Pintos,2av.caxanga,"av = avenida",1.0
Derby,Tamarineira,2av.conselheiro_rosa_e_silva,"av = avenida",1.0
Dois Irmaos,Espinheiro,"2av.norte_miguel_arraes_de_alencar","av = avenida",1.0
Dois Irmaos,Gracas,"4av.rui_barbosa","av = avenida",1.0
Dois Irmaos,Jaqueira,1estr.do_encanamento,"r = rua",1.5
Dois Irmaos,Monteiro,r.caetes+r.de_apipucos,"r = rua",4.0
Dois Irmaos,Parnamirim,2estr.do_encanamento,"estr = estrada",1.5
Dois Irmaos,Poco,2r.de_apipucos,"r = rua",2.0
Dois Irmaos,Santana,"5av.dezessete_de_agosto","av = avenida",1.0
Dois Irmaos,Sitio dos Pintos,"r.manuel_de_medeiros+estr.dos_pintos","r = rua; estr = estrada",3.5
Dois Irmaos,Tamarineira,"3av.norte_miguel_arraes_de_alencar","av = avenida",1.0
Espinheiro,Gracas,av.gov_agamenon_magalhaes,"av = avenida",1.0
Espinheiro,Jaqueira,3av.conselheiro_rosa_e_silva,"av = avenida",1.0
Espinheiro,Monteiro,1estr.do_arraial,"estr = estrada",1.5
Espinheiro,Parnamirim,4av.conselheiro_rosa_e_silva,"av = avenida",1.0
Espinheiro,Poco,5av.conselheiro_rosa_e_silva,"av = avenida",1.0
Espinheiro,Santana,6av.conselheiro_rosa_e_silva,"av = avenida",1.0
Espinheiro,Sitio dos Pintos,2estr.do_arraial,"estr = estrada",1.5
Espinheiro,Tamarineira,"4av.norte_miguel_arraes_de_alencar","av = avenida",1.0
Gracas,Jaqueira,7av.conselheiro_rosa_e_silva,"av = avenida",1.0
Gracas,Monteiro,"av.conselheiro_rosa_e_silva+estr.do_arraial","av = avenida; estr = estrada",2.5
Gracas,Parnamirim,8av.conselheiro_rosa_e_silva,"av = avenida",1.0
Gracas,Poco,4r.jose_bonifacio,"r = rua",2.0
Gracas,Santana,5r.jose_bonifacio,"r = rua",2.0
Gracas,Sitio dos Pintos,3av.caxanga,"av = avenida",1.0
Gracas,Tamarineira,"av.conselheiro_rosa_e_silva+av.santos_dumont","av = avenida",2.0
Jaqueira,Monteiro,3estr.do_arraial,"estr = estrada",1.5
Jaqueira,Parnamirim,r.do_futuro,"r = rua",2.0
Jaqueira,Poco,"r.leonardo_bezerra_cavalcante+av.dezessete_de_agosto","av = avenida; r = rua",3.0
Jaqueira,Santana,r.leonardo_bezerra_cavalcante,"r = rua",2.0
Jaqueira,Sitio dos Pintos,"av.norte+av.caxangá+av.sítio_dos_pintos","av = avenida",3.0
Jaqueira,Tamarineira,"r.da_jaqueira+av.norte","av = avenida; r = rua",3.0
Monteiro,Parnamirim,"av.são_mateus+av.norte","av = avenida",2.0
Monteiro,Poco,"av.beira_rio+av.nossa_senhora_do_rosário","av = avenida",2.0
Monteiro,Santana,"av.beira_rio+r.pedro_werneck","av = avenida; r = rua",3.0
Monteiro,Sitio dos Pintos,"av.17_de_agosto+av.sítio_dos_pintos","av = avenida",2.0
Monteiro,Tamarineira,"av.17_de_agosto+av.norte","av = avenida",2.0
Parnamirim,Poco,av.norte+av.beira_rio,"av = avenida",2.0
Parnamirim,Santana,"av.norte+r.pedro_werneck","av = avenida; r = rua",3.0
Parnamirim,Sitio dos Pintos,"av.norte+av.17_de_agosto+av.sítio_dos_pintos","av = avenida",3.0
Parnamirim,Tamarineira,3av.norte,"av = avenida",1.0
Poco,Santana,r.pedro_werneck,"r = rua",2.0
Poco,Sitio dos Pintos,"av.beira_rio+av.17_de_agosto+av.sítio_dos_pintos","av = avenida",3.0
Poco,Tamarineira,av.beira_rio+av.norte,"av = avenida",2.0
Santana,Sitio dos Pintos,"r.pedro_werneck+av.17_de_agosto+av.sítio_dos_pintos","av = avenida; r = rua",4.0
Santana,Tamarineira,"r.pedro_werneck+av.norte","av = avenida; r = rua",3.0
